id,original,augmented,functionality,range_anxiety,availability,cost,ui,location,service_time,dealership
136,"Great spot for Solar Charge ....

The 100k array is laterally pumping electrons into your battery during the day.  
I paid for my first charge on the beginning  of my 210 mile return trip to Monterey.  I used the new SMUD (Sacramento) Fast SAE and Chademo.  They just charge 20 cents/kwh and still make 100% profit on the power. (about $2)  I was not required to join ""Greenlots"" but the guy on the phone was so nice I probably will since they seem about the same as Chargepoint and offer reasonable rates.  The security guard is very nice guy who ""would not really notice"" a non-employ in the L2 charge lot (20+ chargers/spots mostly empty!   There is also a L2 port at the east side of visitor lot but it is frequently used by EV employs for prime parking.
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx

Other nearby Nissan Leaf dealer charge info below:

I recommend  Davis Nissan for a better sales/customer service experience.   They not only offer free Chademo but want to come out and chat EV and help you plug in.

Both Roseville Future and Elk Grove nissan must be some of the worst dealers in California.  I recommend a free L2 charge on these facilities and spreading the word about Davis Nissan.


Roseville Future and Elk Grove  Nissan dealer does not seem to want to promote EVs.  They have sold rights of the ChAdeMo fast charge over to  EVgo.  It will cost you about 10$ per 50% charge.  What a bummer for leaf buyers who bought from these dealers.  They also offer man ""plans"" like AT&T at even more cost such as the $15/month plan with $29 cancelation fee;-(((

Elk Grove :  There are also only 4 spaces for 5 charges.  I had to block the ChadeMO so I could do a free L2 charge.

The sales manger was not really interested in any of my comments for creating and supporting his leaf customers.  They did have all these ""customer appreciation event"" signs in the lobby.  I guess it must be more about training for manager;-)","I paid my first fee at the start of my 210-mile return trip to Monterey. I used the new SMUD (Sacramento) Fast SAE and Chademo. They charge only 20 cents / kWh and still make 100% profit on electricity. (about $2) I was not required to join ""green lots,"" but the guy on the phone was so kind that I will probably appear as similar to Chargepoint and offer reasonable prices. The security guard is very nice and would ""not really notice"" that a non-employee in the L2 loading bay (20 + chargers / spots) is mostly empty! There is also an L2 port on the east side of the visitor booth, but it is often used by EV staff for first-class parking.",0,1,0,1,0,1,0,1
137,Finally down to 5amps ! Unusable,Finally down to 5 Ampere! Unusable,0,0,0,0,0,0,1,0
138,"Updated Thursday, July 3, 2014 @ 9:45 AM EDT:

Connecticut DOT & Tesla Motors are jointly updating charging signage at the 2 Greenwich Service Plazas on the Merritt Pkwy (CT-15).  Due to high parking stall utilization at these plazas, posted stalls shall be used for SHARED parking or EV charging:  

Stalls are FIRST-COME, FIRST-SERVE; 
Vehicle may EITHER park 15 minutes OR CHARGE 45 minutes; 
Vehicle must vacate stall after EITHER park OR charge cycle is complete.

Thank you for your cooperation.  Please direct any comments or questions to:

Richard C. Hanley, P.E. 
Connecticut DOT 
Telephone: 860-594-2887 
Email: Richard.Hanley@CT.gov","Updated Thursday, July 3, 2014 at 9: 45 AM EDT: Connecticut DOT & Tesla Motors will jointly update the charging signs at 2 Greenwich Service Plazas on Merritt Pkwy (CT-15).Due to the high occupancy rates at these locations, the stalls will be used for shared parking or charging of electric vehicles: The stalls are FIRST-COME, FIRST-SERVE; the vehicle can park for 15 minutes OR LIMITED 45 minutes; the vehicle must leave the stall after the EITHER parking OR charging cycle is complete. Thank you for your cooperation. Comments or questions should be directed to: Richard C. Hanley, P.E. Connecticut DOT Phone: 860-594-2887 Email: Richard.Hanley @ CT.gov",0,0,0,0,0,1,0,0
139,two charger but the connector was broke on one of them.  definatly open 24 hours,"two chargers, but the plug was faulty on one of them. Definitely open 24 hours",1,0,0,0,0,1,0,0
140,"Well, things not improving at all here... People use those spots as parking and not bother to move their cars. At same time - I, who 99% of time do that after it's done, got a note that it's not nice to lock a charger (my car does it and no way I can fix it)! How about those who not bother moving a car?? They deserve a huge sign looks like.","People use these places as parking and do not bother to move their cars. At the same time - I, who do this 99% of the time after it is finished, got a hint that it is not nice to lock a charger (my car does it and I cannot fix it)! How about those who do not bother to move a car?? They deserve a huge sign as it looks.",0,0,1,0,0,0,0,0
141,3 tesla's charging and one charging station occupied by diesel truck,3 Tesla charging stations and one charging station staffed by diesel trucks,0,0,1,0,0,0,0,1
142,"Worked great, Thx AS","Worked fine, Thx AS",1,0,0,0,0,0,0,0
143,Broken,Broken,1,0,0,0,0,0,0,0
144,A piece on the CHAdeMO connector is reported to be broken and it may need extra care and multiple tries when plugging in. The manufacturer has been notified.,Part of the CHAdeMO connector is reportedly defective and may require additional care and several attempts at plugging in. The manufacturer has been notified.,1,0,0,0,0,0,0,0
145,Topped off on our way to Des Moines. Great restaurant/brewery! No issues charging. ,We rounded off our way to Des Moines. Great restaurant / brewery! No fees.,1,1,0,0,0,1,0,0
146,"All bays are out of order, including the ones with no ""Out of Order"" sign.  Spent way too long on the phone with ChargePoint, and it doesn't sound like anything is going to be fixed anytime soon.","All bays are out of service, even those without ""out of service"" signs. You have phoned ChargePoint for far too long and it does not sound as if anything will be repaired in the foreseeable future.",1,0,0,0,0,0,0,0
147,"They replaced the broken ChargePoint station with a new Blink station.  It's 49 cents per kWh for guests, 39 for Blink members.  You can use the Blink mobile app to request a code to enter on the charging station if you don't have a Blink card.","They replaced the broken ChargePoint station with a new Blink station. It costs 49 cents per kWh for guests, 39 for Blink members. If you do not have a Blink card, you can request a code to enter at the charging station via the Blink app.",1,0,0,1,0,0,0,0
148,"CHAdeMO quick charger - is working
SAE Combo quick charger - unknown
J1772 standard charger - not working yet",CHAdeMO Fast Charger - works SAE Combo Fast Charger - unknown standard charger J1772 - does not work yet,1,0,0,0,0,0,0,0
149,level 3 charging,Level 3 charging,1,0,0,0,0,0,0,0
150,My 2013 leaf has very good braking after taking to dealer to reprogram braking sensitivity..  Low Center of Gravity....crucial for emergency braking and turning,My 2013 Leaf brakes very well after going to the dealer to reprogram the braking sensitivity.. Low center of gravity.... critical for emergency braking and turning,0,0,0,0,0,0,0,1
151,14-50 wouldn't charge @ more than 12 rated mph. MS alerted that wiring may be bad & reduced draw to 30 A. ,14-50 would not charge more than 12 km / h. MS warned that the wiring could be bad and reduced the traction force to 30 A.,1,0,0,0,0,0,1,0
152,Will need about 2.5 hours. Ok to unplug if you need to charge. Please just plug back in. Thanks.,"Requires about 2.5 hours. Ok, pull the plug when you need to charge. Please just plug it back in. Thank you.",0,0,0,0,1,0,0,0
153,"As I was unplugging, noticed the sign about these no longer being free. At least today, thy still wasn't in effect, so looks like it's coming soon. ","As I pulled the plug, I noticed the sign that they were no longer free. At least today, yours was not yet in force, so it looks like it will come soon.",0,0,0,1,0,1,0,0
154,All chargers are not receiving power. The Level 2 charger has a shattered screen and the DCFC has lines going across its two touch screens. Don't expect to charge here anytime soon.,The Level 2 charger has a smashed screen and the DCFC has wires running across its two touchscreens. Don't expect to be charging here any time soon.,1,0,0,0,0,0,0,0
155,Charging on the L2 in order to make it home to Amherst. This QC is very conveniently located for travel between western ma and eastern ma. I hope they can get it repaired soon. ,Shop on the L2 to make it home to Amherst. This QC is very conveniently located to travel between Westma and Ostma. I hope they can repair it soon.,1,1,0,0,0,1,0,0
156,Feel free to unplug if finished parking.  Green light flashes,Feel free to pull the plug when parking is finished. Green light flashes,1,0,0,0,1,0,0,0
157,"This shows up as a new CCS location as of March 31, but there are no photos of anything except a 110 outlet.

Can anyone confirm if there is really DCFC at this location?","This shows up as a new CCS location as of March 31st, but there are no photos of anything except a 110 outlet. Can anyone confirm if there really is DCFC at this location?",0,0,0,0,1,0,0,0
158,Only one L2 was working and it was already occupied. ,Only one L2 worked and was already occupied.,1,0,1,0,0,0,0,0
159,"Plug #4 was not working, so I grabbed the last open spot by the Annex. This area needs more public charging. ","Plug 4 did not work, so I grabbed the last free space at the attachment. This area needs more public charging.",1,0,0,0,0,1,0,0
160,"Addendum to April 20, 2015 note: Charged with L2 equipment. Did not test L3. Worth noting that I did use an L3 charger that day at the Chevron station in Casa Grande. So, there are two L3 chargers between Tucson and Phoenix, the other being at this location. Note that the store closes at 8pm. but I assume that the chargers are available 24.7. I think it would be useful for Plug-In to have an info rating category regarding lighting and proximity to stores and people in the context of women being able to feel comfortable using EV charging equipment after dark. The staff at this store are pleasant and helpful.","Note: Charged with L2 devices. Did not test L3. Remarkably, I used an L3 charger at the Chevron station in Casa Grande that day. So there are two L3 chargers between Tucson and Phoenix, the other is located at this location. Note that the store closes at 8 p.m., but I assume the chargers are 24.7 available. I think it would be useful for Plug-In to have an information category regarding lighting and proximity to shops and people, so that women can feel comfortable with EV chargers after dark. The staff in this store is pleasant and helpful.",1,0,0,0,0,1,0,0
161,Now four chargers here.    :-) ,Now four chargers here.: -),0,0,1,0,0,0,0,0
162,broken,,1,0,0,0,0,0,0,0
163,had to try twice but worked perfect after that.,"had to try it twice, but worked perfectly afterwards.",1,0,0,0,0,0,0,0
164,Using the L1 port.,With the L1 port.,1,0,0,0,0,0,0,0
165,Chargepoint $1/hr,Charging point $1 / h,0,0,0,1,0,0,0,0
166,called in the left side screen faded to blue after I hit continue and tried to connect ,on the left side of the screen faded to blue after I pressed Next and tried to connect,1,0,0,0,0,0,0,0
167,level 3 went down at 42% charge. Salesman I talked to seemed eager to get the problem fixed. The guy that was going to get it fixed was in no hurry had to relocate to Tom woods level 3 to make the trip back home in time.,"The salesman I spoke to seemed eager to fix the problem, and the guy who wanted to fix it was in no hurry and had to move to Tom Woods Level 3 to get home in time.",1,1,0,0,0,0,0,0
168,I was ICE'd and had to park between spots. Contacted @GrapevinePolice via Twitter to start cracking down. ,I was ICE'd and had to park between points. @ GrapevinePolice contacted via Twitter to begin the crackdown.,0,0,1,0,0,1,0,0
169,Volt not charging in spot,Volt does not charge on the spot,1,0,0,0,0,0,0,1
170,"Fast gave a communication error message 4 times, never worked.","Nearly gave an error message four times, but never worked.",1,0,0,0,0,0,0,0
171,Located across the Courtyard Marriott.  We used the bathrooms and had a cocktail in the hotel.,The hotel is located opposite the Courtyard Marriott. We used the bathrooms and drank a cocktail in the hotel.,0,0,0,0,0,1,0,0
172,other charger is occupied by a Fiat that is done charging,other charger is occupied by a Fiat that is being charged,0,0,1,0,0,0,0,0
173,"Peak charging power: 30 amps, 240 volts","Peak charging power: 30 Ampere, 240 Volt",1,0,0,0,0,0,0,0
174,"wonderful oasis, only way for me to make our trip. was able charge Leaf for an hour while eating at local restaurant.","wonderful oasis, the only way for me to make our excursions. Leaf could eat for an hour in the local restaurant.",1,1,0,0,0,0,0,1
175,Yes. They all appear to be functioning. I also checked the RFID readers and screens on the L-2s. I went up the east side of Palomar and used one DCFC on the way up and the other one on the way down. Both charged me to 80%.,Yes. They all seem to work. I also checked the L-2 RFID readers and screens. I went up the east side of Palomar and used one DCFC on the way up and another on the way down. Both charged me 80%.,1,0,0,0,0,0,0,0
176,Nice place to charge and have a bite to eat in town (easily walkable from charging station). ,Nice place to recharge and eat in the city (easy to reach on foot from the charging station).,0,0,0,0,0,1,0,0
177,"Card failed, but app worked great. ","The card failed, but the app worked great.",1,0,0,0,0,0,0,0
178,Tried charging my e-golf for the first time here around 5:45 pm on 8/18. Couldn't charge. Called support and they couldn't resolve it either. Charger kept saying plugin cable.,Tried here around 17: 45 clock on August 18 for the first time to charge my e-Golf. Could not charge. Called support and they could not solve it. Charger said again and again plugin cable.,1,0,0,0,0,0,0,0
179,"Semi-decent location. It's a healthy walk from Market Common (movie theater, shops, etc.) however it wasn't working. Flashing wrench icon. ","It is a healthy walk from Market Common (cinema, shops, etc.), but it did not work.",1,0,0,0,0,1,0,0
180,A Tesla at the handicap space was charging.,A Tesla in the disabled parking lot was loaded.,0,0,0,0,1,0,0,1
181,already in use,already in use,0,0,1,0,0,0,0,0
182,"Thanks to Jim for being helpful!
While charging they can give you a ride in their shuttle to drop you off f.e. at the mall. Awesome!",Thanks to Jim for his helpfulness! During the shop they can give you a ride in their shuttle to drop you off e.g. at the mall. Great!,0,0,0,0,0,1,0,0
183,"This location is on a corporate campus (Chick-fil-A) and has restricted access, and is generally not availabel to the public.  I've changed the listing to ""restricted"".

To the first commenter who asked ""why even list it at all"", restricted sites are posted here because A) they provide accurate information to the people they are restricted to, and B) the listing acts as a placeholders so that people don't keep re-adding the listings, often with incorrect information.","This site is located on a corporate campus (Chick-fil-A) and has limited access and is not generally available to the public. I have changed the listing to ""restricted,"" where the first commenter who asked ""why list it at all"" posts restricted pages because they A) provide accurate information to the people to whom they are limited, and B) the listing acts as a placeholder so that people do not keep adding the listing, often with incorrect information.",0,0,0,0,0,1,0,0
184,"last time I checked, the DC quick charger is still not functioning. inquired blink, they replied 10 days later stating that they will look into this issue.  

I also inquired to NRG eVgo to setup a DC/SAE combo here and a rep got back stating that they have something planned on already.  hope to see couple of DC Quick chargers here that's working.","The last time I checked, the DC fast charger was still not working, and when I blinked, they replied 10 days later that they would address the issue. I also enquired about NRG eVgo to set up a DC / SAE combo here, and a member of staff came up and said that something was already planned. I hope to see some DC fast chargers working here.",1,0,0,0,0,0,0,0
185,Anyone know if the new station is in yet?,Who knows if the new station is already standing?,0,0,0,0,1,0,0,0
186,Quick charge working just had to ask to move this ugly yellow Juke first!,The fast charger just had to ask to move this ugly yellow juke first!,1,0,0,0,0,0,0,0
187,free DC fast charge. 60kw. requires blink card. ,free DC fast charging. 60kw. requires flashing card.,1,0,0,1,0,0,1,0
188,These chargers will be offline 9/14-9/22 for the Common Ground Country Fair.  There will be 2 J1772 plugs at the Red Barn during that week.  When they have been installed I will post location on Plugshare.,"These chargers will be offline for the Common Ground Country Fair from September 14th to 22nd. This week, there will be J1772 plugs in the Red Barn 2. Once installed, I will post the location on Plugshare.",0,0,1,0,1,1,0,0
189,All NRG eVgo DC Fast Chargers are part of No Charge to Charge. We are very happy to lead the charge of a robust charging infrastructure in the Atlanta area and are completely committed to Nissan's No Charge to Charge Program.,All NRG eVgo DC fast chargers are part of No Charge to Charge. We are very happy to be leading a robust charging infrastructure in the Atlanta area and are fully committed to Nissan's No Charge to Charge program.,0,0,0,1,0,0,0,0
190,"Second time using the Tesla charger, get a 40 amp charge since I don't have twin chargers in my Tesla but it seems rated to 70 amps. ","If you use the Tesla charger for the second time, you will get a 40 amp charge, as I do not have twin chargers in my Tesla, but it seems to be designed for 70 amps.",1,0,0,0,0,0,1,1
191,"Thank you LADWP, I was at 3% !!","Thank you LADWP, I was at 3%!!",0,1,0,0,0,1,0,0
192,"5,800 watts","5,800 watts",0,0,0,0,0,0,1,0
193,Charged on Friday 11/15/2013  6 spots available with 1 other charging.  They charged $1.25 per hour,Charged on Friday 15 / 11 / 2013 6 spots available with 1 other charge. They charged $1.25 per hour,1,0,1,1,0,0,0,0
194,"I have had mixed luck with this charger too -- seems to be on a sensitive break and at least once it has started just fine and then stopped well before a full charge.  Monitor closely or head on over to Redhook brewery or the Port Inn's (traffic circle) with two Tesla and one standard level 2 charger.

For other local EV Drivers, Durham, NH is hosting a National Drive Electric Week EV festival and ribbon cutting for its two new public chargers on September 20th, 2015 from 12-4PM at the Pettee Brook Municipal Lot. Come join BMW, Nissan, and what we hope are dozens of local EV owners and a lot of interested students and residents. For more information see https://driveelectricweek.org/event.php?eventid=422 or email cforcey@me.com. Organized by the Durham Energy Committee.","I also had mixed luck with this charger -- seems to be in a delicate break and at least once it started well and then stopped well before a full charge. Watch closely or drive two Tesla and a standard Level 2 charger to Redhook Brewery or Port Inn's (roundabout). For other local EV drivers, Durham, NH is hosting a National Drive Electric Week EV Festival and ribbon cutting for its two new public chargers on September 20, 2015 from 12-16 at Pettee Brook Municipal Lot. Join BMW, Nissan and we hope dozens of local EV owners and many interested students and residents will come. For more information, visit https: / / driveelectricweek.org / event.php? eventid = 422 or send an email to cforcey @ me.com. Organized by the Durham Energy Committee.",1,0,0,0,0,1,0,1
195,EV friendly VA police officer tried to help get access but we found when Engineering Department is not manned the courtyard is not open for charging.,"EV-friendly VA policeman tried to help get access, but we found out that the yard is not open for charging if the engineering department is not staffed.",0,0,0,0,0,1,0,0
196,"charged stopped at 18 minutes. ""Charging Error. The car detected a problem. The plug is unlocked"".  Second time happened on this Chademo Combo charger.  Anyone else get this?  I took the car to the dealer after the first time, they checked the battery and could not find anything.","""Charging error. The car noticed a problem. The plug is unlocked."" The second time this happened with this Chademo combo charger. Who else gets this? I took the car to the dealer after the first time, they checked the battery and could not find anything.",1,0,0,0,0,0,0,0
197,Broken Station. Would not let me use EZ card or credit card. ,Broken Station. Would not allow me to use EZ card or credit card.,1,0,0,0,0,0,0,0
198,"at the main entrance.....turn at first left.....let them know that you are using the charging station...they should let you right in with a gate code...which i believe is changed daily....chargers are visible from the gate...... they are just southwest of the hotel lobby.....not the fastest chargers, but cant complain","at the main entrance..... first turn left..... tell them that you are using the charging station..... they should let you in directly with a gate code... which in my opinion is changed daily.... Chargers are visible from the gate..... they are located southwest of the hotel lobby..... not the fastest chargers, but they cannot complain",1,0,0,0,0,1,1,0
199,Unplugged red volt cuz it was charged and alarms went off.  Please turn off your alarms if you are going to park beyond full charge.  It's in the configuration screen. ,"If you want to park beyond the full charge, please turn off your alarm system. It is located in the configuration screen.",0,0,1,0,1,0,0,1
200,not free anymore.  cost  me $2.80.,no longer free. cost me $2.80.,0,0,0,1,0,0,0,0
201,Right most EVSE is still broken after reboot attempt. internal failure light was flashing and it wouldn't charge up my car. I left it turned off until service crew comes to fix it.,"On the right, most of the EVSE is still defective after a restart attempt. Internal error light flashed and it would not charge my car. I left it off until the service crew came to fix it.",1,0,0,0,0,0,0,0
202,"I charged here on the 15th and the 16th on my trip from Brighton to Effingham, IL. Owners helped me and couldn't have been nicer.","I stormed here on the 15th and 16th of my trip from Brighton to Effingham, IL. The owners helped me and couldn't have been nicer.",1,1,0,0,0,0,0,0
203,closed for season. :-(,Closed for seasonal reasons.: - (,0,0,0,0,0,1,0,0
204,DC Charger up and running.,DC Charger.,1,0,0,0,0,0,0,0
205,It doesn't matter with the signs. There's 4 gasoline cars parked here. 2 spots open for EV cars.,It does not matter with the signs. Here are 4 gasoline cars. 2 places for electric vehicles free.,0,0,1,0,0,0,0,0
206,18 mi/hr charge for Model S. Only the left station is working. Screen has been black since yesterday but the handle still releases and it delivers charge with my membership card. Right station says no network connection and that my card is not valid on that station. Mgmt says contract being finalized to activate the chargers. ,"Only the left station is working, the screen is black since yesterday, but the handle is still loosening and it is being charged with my membership card, the right station says that there is no network connection and that my card is not valid on this station. Mgmt says that the contract to activate the chargers has been concluded.",1,0,0,0,0,0,1,0
207,"This site now requires a SemaCharge card to operate, which must be the one RFID card that I don't have.","For the operation of this page, a SemaCharge card is now required, which must be the only RFID card I do not have.",1,0,0,0,0,0,0,0
208,Quick Charge is out of order,Quick charging is not right,1,0,0,0,0,0,0,0
209,"After 7 hours in the car to go 15 miles in metro Atlanta's snow/ice in Jan of 2014, I was on electric ""fumes"" as I pulled in - this being my only hope to get charged enough to make the last 10 miles home. No sign of a charger. Guessing it's behind their locked gate in the back - but not accessible to the public - at least after hours. ;-(","After 7 hours in the car to drive 15 miles in the snow / ice of the Atlanta subway in January 2014, I was on electric ""steam"" when I got in - that was my only hope of being recharged enough to drive the last 10 miles home. No sign of a charger. Guess it's behind their locked gate in the background - but not open to the public - at least not after hours.; - (",1,1,0,0,0,1,0,0
210,"All chargers have ""out of order""signs. ","All chargers have ""out of service"" signs.",1,0,1,0,0,0,0,0
211,"Bwm i3 is done charging, but they locked the charger into their car so that no one may unplug them. ","The Bwm i3 is charged, but they locked the charger in their car so no one could pull the plug.",0,0,0,0,1,0,0,0
212,charged at 22 mph,Charged at 22 km / h,0,0,0,0,0,0,1,0
213,"Iced!  They need to fine ice vehicles that park there.

Turned around and went straight to Trader Joe's.",Iced! You have to fine ice vehicles that park there. Turned around and went straight to Trader Joe's.,0,0,1,0,0,0,0,0
214,"One level-2 j1772 dual-coupler, pepstations.com card required, located near the employee entrance.  | See http://www.sbwire.com/press-releases/electric-car-charging-stations/electric-vehicle-charging-stat/sbwire-193473.htm","A Level 2 j1772 dual coupler, pepstations.com map required, is located near the employee entrance. | See http: / / www.sbwire.com / Press Releases / Electric Car Charging Stations / Electric Vehicle Charging Stations / sbwire-193473.htm",1,0,1,0,1,1,0,0
215,does anyone know if this station is free? ,Does anyone know if this station is free?,0,0,0,0,1,0,0,0
216,paid $5.50 for 2.3 hours with NO actual charging for my Leaf.,paid $5.50 for 2.3 hours without actually charging for my Leaf.,1,0,0,1,0,0,0,1
217,Please not that Plugshare addresses are not mailing addresses. They navigate EV users to the correct driveway for each station.,Please note that the plug-share addresses are not postal addresses that EV users navigate to the correct driveway for each station.,0,0,0,0,1,1,0,0
218,Got 6 KW in under an hour!,6 KW in less than an hour!,1,0,0,0,0,0,1,0
219,Both chargers in used. Cost is high. ,"Both chargers are needed, the costs are high.",0,0,1,1,0,0,0,0
220,New charging station that works!,New charging station that works!,1,0,0,0,0,0,0,0
221,"Nissan NCTC

2015-05-10
Plugshare and EZ-Charge apps under their current design should have separate listings for L3s so that status (like under repair) and alerts (like all stations in use and station has become available) make sense for real human EV users.    
                                                 Nissan advertises 30 minutes free with NCTC on L3s. Unfortunately, they are failing to be honest in several ways:

0. Many stations are out of order, but not listed as such on the advertising posters in Nissan dealerships or in the EZ-Charge app, which has a special icon for under repair. In Phoenix, about 5 of 21 stations are currently out of order but still using the normally working icon.

1. They do not provide 30-minute free sessions.

2. They fail to time the sessions for you.

3. They fail to cut off the session at 30 minutes.

4. If you go over, they charge you $7. This requires you to leave work or whatever you are doing, exactly in time to cut it off. If you leave too early, then you cut your session short. If you leave right on time, you must still cut your session a little short to avoid going over the 30 minutes on your own timing.

5. They refuse to document or provide measures for when the timer starts and when it ends.

6. When touch screens do not work, you cannot use NCTC over app or telephone. They say you can dispute it later, but their dispute process is opaque and time consuming. That is not a free 30-minute charge, either.

7. What they should have done, and what they probably originally meant to do, is simply provide $7 fast charges for free to NCTC customers.","Nissan NCTC2015-05-10Plugshare and EZ-Charge apps in their current design should have separate listings for L3s, so status (as in repair) and alarms (as in all stations that are in use and station has become available) make sense for real human users of electric vehicles. Nissan advertises 30 minutes free with NCTC on L3s. Unfortunately, they are not honest in several respects: 0. Many stations are out of service, but not listed as such on the billboards in Nissan dealerships or in the EZ-Charge app, which has a special icon for repairs. In Phoenix, about 5 of 21 stations are currently out of service, but still use the normally functioning tool.1. They do not offer 30-minute free sittings.2. They fail to schedule the sessions for you.3. They do not interrupt the session after 30 minutes.4. If you pass, they charge you $7. This requires you to stop work or whatever you do just in time to exit them.",1,0,0,1,0,0,0,1
222,"Left unit looks dead, right unit working with card","Left Unit Looks Dead, Right Unit Works With Map",1,0,0,0,0,0,0,0
223,Two spots ICEd by Teslas..which seems even worse. ,Two points from Tesla's ICEd.. which seems even worse.,0,0,1,0,0,0,0,1
224,"Tom, it is a metro station. People drive many miles to get there,plug-in  and take a train to work or to get someplace far away. I'm lobbying metro to change the signs to reflect the real purpose of the lot which is to allow daily EV metro commuters the ability to have a charged car when they return back from their journey. Metro should have installed many L1 outlets to accompany the L2 so people can top off via L2 at the end of the day & use L1 during the day.","Tom, it's a subway station: people travel many miles to get there, get on the train and take the train to work or to a far away place. I want the subway to change the signage so that it reflects the real purpose of the lot, which is to allow daily commuters with electric vehicles to have a recharged car on the way back from their trip. Subway should have set up many L1 outlets to accompany the L2 so that people can lock up on the L2 at the end of the day and use L1 during the day.",0,0,0,0,1,1,0,0
225,"both dcfc are broken again! left side has touch screen issues. right side is blank.
was working last night... broken again :-(
informed blink support.",both dcfc are broken again! left side has touch screen problems. right side is empty. worked last night... broken again: - (informed flashing support.,1,0,0,0,0,0,0,0
226,nrg fast charger (Chademo) working ok.,NRG fast charger (Chademo) works well.,1,0,0,0,0,0,0,0
227,"Wow lots of LEAFs at the Mall of Georgia NRG station, counted 5 charging, but both on the Level 3 were fully with locked charging ports and NO drivers in site. Had to recharge on a Level 2 to make it home.","Wow many LEAFs at the Mall of Georgia NRG station, counted 5 charges, but both on Level 3 were full with locked charging ports and NO drivers on site. Had to charge on Level 2 to get home.",0,1,1,0,0,0,0,0
228,Charging.,Charge.,1,0,0,0,1,0,0,0
229,Two free chargers in front of Whole Foods,Two free chargers outside Whole Foods,0,0,0,0,0,1,0,0
230,BMW Does not really want to invest in Combo Chargers. At least that is what they say on the phone. ,"BMW doesn't really want to invest in combo chargers, they say over the phone.",1,0,0,0,0,0,0,1
231,Worked fine. This one wasn't Blinking.,It worked well.,1,0,0,0,0,0,0,0
232,Yeah WTF I got $21.6 for 6 hrs of charging. I'm going back to my gas truck. Blink must be working for the gas companies.,"Yes, WTF I got $21.6 for 6 hours charging. I drive back to my gas truck. Blink has to work for the gas companies.",0,0,0,1,0,0,0,0
233,was iced but I asked the salesperson about if it was OK and they offered to move a car blocking access. thanks!,"was icy, but I asked the seller if it was okay and he offered to move a car blocking the access. Thanks!",0,0,1,0,0,1,0,0
234,Both spots taken @4:24pm,Both spots recorded at 4: 24 p.m.,0,0,1,0,0,0,0,0
235,charge via chademo seems to work fine.,Loading via chademo seems to work well.,1,0,0,0,0,0,0,0
236,partially iced by jly2548 pa jeep. but cord barely went around ice. 114 mph DC charge,partially iced by jly2548 pa jeep. but cable barely went around ice. 114 km / h DC charge,1,0,1,0,0,0,1,0
237,Should be done by 2:20.  Another Leaf in line... ,Should be done by 2: 20am. Another leaf in the queue...,0,0,0,0,1,0,0,1
238,Charged on ClipperCreek 1772 - worked great - shopping center a couple of blocks away,Charged at ClipperCreek 1772 - worked great - shopping center a few blocks away,1,0,0,0,0,1,0,0
239,We charged at 4.00 pm and had a slight wait. This is a very popular and heavily used DCFC. At least two the Leafs that were there only charge there. They have no home charger. A combo charger is supposedly coming to this stie.,This is a very popular and widely used DCFC. At least two of the Leafs who have been there charge only there. They don't have a home charger. A combo charger supposedly comes for that purpose.,1,0,1,0,0,0,0,0
240,Model S charges at 16m/hr. This is a free Charge Point charger. You need your card to use the charger.,The Model S charges at 16 m / h. This is a free charger for charging stations. You need your card to use the charger.,0,0,0,0,0,0,1,1
241,Didn't see a guard. Gate open at 8:22 pm. ,"I did not see a security guard, entrance is at 8: 22 p.m.",0,0,0,0,0,1,0,0
242,"Tried to charge a Tesla on Sunday, Sep 15, 2014. One Charger showed an error and would not charge due to cable error according to the Tesla display. The other Charger did not show an error but would not charge with the Tesla indicating it was ready to charge.","Attempted to charge a Tesla on Sunday, September 15, 2014. One charger showed a fault and could not be charged due to a cable failure, according to the Tesla display. The other charger did not show a fault but did not charge when the Tesla indicated that it was ready to charge.",1,0,0,0,0,0,0,1
243,only charger in the valley...  not even the nissan dealer here in town has a charger (chargepoints app is wrong).  thanks again guys!  if you're ever here during business hours don't forget to stop into the showroom to see all their awesome stuff and thank them!,"only charger in the valley... not even the nissan dealer here in town has a charger (charging points app is wrong). thanks again guys! if you are ever here during business hours, don't forget to go to the showroom to see all their great things and thank you!",0,0,0,0,0,1,0,1
244,Chargers are adjacent to Restaurant. Straight back from parking lot entrance.,Chargers are located next to the restaurant. Straight from the parking lot entrance.,0,0,0,0,0,1,0,0
245,DC is out of order,DC is out of service,1,0,0,0,0,0,0,0
246,Cold weather caution. Very slow charge on a 40 degree day.   Was only 2X faster than Level 2,Caution in cold weather. Very slow charge on a 40 degree day. Was only 2x faster than stage 2.,0,0,0,0,1,0,1,0
247,CHAdeMO working as of December 30.   Charged for several minutes at 390 VDC in a Leaf.  L2 J1772 still under construction.   Great location. ,CHAdeMO has been working since December 30. Charged for several minutes at 390 VDC in a Leaf. L2 J1772 still under construction. Great location.,1,0,0,1,0,0,0,0
248,"Hello, 

Thank you for reporting that charger. I will take the serial number and open a work order for that charger to be repaired. 

Best regards, 
Deidra.W 
Blink Network Contact Center
Email: support@blinknetwork.com | Phone: +1.888.998.2546","I take the serial number and open a work order to repair the charger. Sincerely, Deidra.W Blink Network Contact CenterEmail: support @ blinknetwork.com | Phone: + 1.888.998.2546",0,0,0,0,1,0,0,0
