id,review,functionality,range_anxiety,availability,cost,ui,location,service_time,dealership
375,free DC fast charging. 60kw. requires flashing card.,1,0,0,0,0,0,1,0
376,"Note: This charger is limited to 15A, which gives my Tesla Model S a charging speed of 8 km / h. Very comfortable and accommodating staff.",1,0,0,0,1,1,0,1
377,$0.95 per hour to Coulomb plus $3.75 per 12 minutes up to $35.00 / day for parking. $10 flat after 5pm.,0,0,0,1,0,1,0,0
378,Had to remove the charging hose and reconnect it to get it working.,1,0,0,0,0,0,0,0
379,Successfully charged. No temperature error,1,0,0,0,0,0,0,0
380,Worked W / O trailer. Took some baby towels and cleaned a little,1,0,0,0,0,0,0,0
381,CHADEMO still down. Level 2 is ok.,1,0,0,0,0,0,0,0
382,Still broken,1,0,0,0,0,0,0,0
383,Both places ICEd with lots of nearby seats open. Red Versa owner is repeat offender for parking in the EV only seats.,0,0,1,0,0,0,0,0
384,Thanks Canopy! Entered to recharge on drop-off run.,1,0,0,0,0,0,0,0
385,"Opportunity Charging, pull the plug if an emergency.",0,0,0,0,1,0,0,0
386,"SUPERCHARGER works, we load now, good job Nissan Turnersville & Cornerstone Electric! Nissan please do not block with ICE!",1,0,1,0,0,0,0,1
387,"227volts at 48 amps. You have to call them first to get them to open the cabinet containing the HPWC. They also have a J1772 to order, which should be installed soon.",1,0,0,0,0,1,1,0
388,An ICE carriage with a poster for the disabled took its place.,0,0,1,0,0,0,0,0
389,Charged at a wedding visit on 25.7.15. Everything worked great!,1,0,0,0,0,0,0,0
390,rolled up with only 15 miles to spare!,0,1,0,0,0,1,0,0
391,"The charger is located near the bus stop. To the left of the bus stop is a gate, and the charger is located behind the gate.",0,0,0,0,0,1,0,0
392,"Its about 500 feet south of the marker. Next to a small building. Do not go to the large parking lots, but take a small building to the property behind it. Look for the blue charging symbol on the street.",0,0,0,0,1,1,0,0
393,,0,0,0,1,0,0,0,0
394,"I forgot to check in when I was there on Sunday, but the station works great: -)",1,0,0,0,0,0,0,0
395,Guests can not charge at this time. 21: 15.,0,0,0,0,0,1,0,0
396,Unbound black sheet with already 96%.,0,0,1,0,1,0,0,0
397,The second charging station was sent in for minor repairs and will be reinstalled shortly.,1,0,0,0,0,0,0,0
398,"The charger appears to be powered at 18: 45, but does not work. Maybe it only works when the building is open.",1,0,0,0,0,1,0,0
399,Works great!,1,0,0,0,0,0,0,0
400,"In order to reach the cable, you have to secure some things.",0,0,0,0,1,0,0,0
401,Make sure the charger in the clutch is reset when it is ready,0,0,0,0,1,0,0,0
402,Hooray! Both ports light up as authorized after the ChargePoint card has been deleted. Finally!,1,0,0,0,0,0,0,0
403,Parking for the Angsthaus,0,0,0,0,0,1,0,0
404,Error message on the screen.,1,0,0,0,0,0,0,0
405,Combo Station would not read my EVGo card.,1,0,0,0,0,0,0,0
406,Feel free to switch off after 715,0,0,0,0,1,0,0,0
407,Quick charger does not work,1,0,0,0,0,0,0,0
408,Red Volt it would be nice if you left your number so someone else can get a charge when you're done,0,0,0,0,1,0,0,1
409,These stations are open between 08: 00 and 17: 00.,0,0,1,0,0,0,0,0
410,"I don't know why, but the L2 charger took 10 hours to charge my 500e, as opposed to the 4 hours I get at an adjacent flashing station. I love the setup here and prefer this location to others, but I think there might be something wrong with the L2 charger.",1,0,0,0,0,0,1,0
411,Cold night in Alton. Choir rehearsal in the 1st Pres.,0,0,0,0,0,1,0,0
412,Fast charging,0,0,0,0,0,0,1,0
413,"Until recently, it was illegal to charge per kWh in IL unless you have a utility, which is why hourly rates are so common, but regardless: $2 an hour is not a fair premium, it's a big chunk. That's 6 times the current price of electricity with a 3.3 kW charger, 3 times the price of a 6.6 kW charger. I've personally spoken to the management of the malls about this, and they're unapologetic, and your math is done in terms of mileage. A 6.6 kW charger will take you about 22 miles. Even cheaper than gas, but scarce. Not so with a 3.3 kW charger.",1,0,0,1,0,1,0,0
414,Just finished loading and moving car so others can charge,0,0,0,0,1,0,0,0
415,"Station 1 had ground defects. Tried Station 2 had ground defects. Tried again and it started charging. However, when I returned 2 hours later, the station indicated a fault and my car had gained only 2 miles of charge.",1,0,0,0,0,0,0,0
416,Here on a Sunday. Many open spaces and the Voltec charger works well! Happy!,1,0,1,0,0,0,0,0
417,Oh thank God. Free fast charging in the Chargepoint network. I was on 10%.,1,0,0,1,0,0,0,0
418,The charge ended prematurely with a temperature error. I called the number 888 and reported an error.,1,0,0,0,0,0,0,0
419,Try Haaf Ramp one block further south.,0,0,0,0,1,1,1,0
420,"This is incorrectly stated as free. Indeed, this is 1.70 per hour. WOW like paying for petrol in a 20mpg car.",0,0,0,1,0,0,0,0
421,No one is here on Monday lunchtime.,0,0,1,0,0,0,0,0
422,I have 20 minutes left and it works fine.,1,0,0,0,0,0,0,0
423,We should encourage them to install a charger that everyone can use.: -),0,0,0,0,1,1,0,0
424,bmw before me calculated fine,1,0,0,0,0,0,0,1
425,"Near 110 fwy and Redondo Beach Blvd. we saved ourselves. We only had 6 miles left. Well lit, safe. You can shop at Von's or Walgreens while you wait.",1,1,0,0,0,1,0,0
426,Fast charger still doesn't work,1,0,0,0,0,0,0,0
427,Both chargers are working now.,1,0,0,0,0,0,0,0
428,Does anyone know if the car park is closed or locked overnight? Or is there 24 / 7 access to the chargers? I have seen some fast chargers blocked by shopping centres outside business hours.,0,0,0,0,1,1,0,0
429,came to the place where a Honda CRV was sitting with people who insisted on it. They kindly left when I told them that it was only for electric vehicles. It is not well marked.,0,0,1,0,0,0,0,0
430,Out of service for over a month,1,0,0,0,0,0,0,0
431,"Was here with DCFC - both Level 2 chargers were empty, but PlugShare showed both as occupied.",1,0,1,0,0,0,0,0
432,Customer service said not able to activate station without fob.,1,0,0,0,0,1,0,0
433,3rd floor blink fake - connected by Blue Fusion Energi. These extra steps to go must have been really worth it. 2nd floor blink avaliable yeah. Blinks are priced at new $0.49 / kWh. I go up on Palomar Mtn so good value for money for convenience.,0,0,1,1,0,0,0,1
434,"To activate the charger, log in via app, scan QR, the station should click Available, click Next, then connect the charger to the car and click Charge Start.",0,0,0,0,1,0,0,0
435,Does the Level 3 charger work?,1,0,0,0,1,0,0,0
436,"After I could not charge the street, I came here. It took a long time for the flash charger to authorize my card, but it finally worked.",1,0,0,0,0,1,1,0
437,"Expensive garage, but funny tunnels",0,0,0,1,0,0,0,0
438,Four wards for doctors and only one for everyone! Only four for everyone else and all four for everyone. What a waste.,0,0,1,0,0,0,0,0
439,"mechanical failure again, tried 10 times to reset breaker. Feel like it gets worse: /",1,0,0,0,0,0,0,0
440,"The dealer charges the i3 today after the i3 and does not share it with the public today. Two other connectors are available, but not yet available on the ChargePoint network.",0,0,0,0,0,0,0,1
441,"Ideal for shopping, not much good food. Small food court, mostly junk food.",0,0,0,0,0,1,0,0
442,"Yes, it works great!",1,0,0,0,0,0,0,0
443,Charging the Model S on L3 starts at around 40% per hour. The charger warned that it will shut down at 11pm and therefore may not be suitable for late night charging.,1,0,0,0,0,1,1,0
444,I called the youth centre and they said that the socket is only for charging city vehicles and that the electricity on the socket is turned off if a city vehicle is not charged.,0,0,0,0,0,1,0,0
445,L3 down. L2 down.,1,0,0,0,0,0,0,0
446,dcfc r / s worked,1,0,0,0,0,0,0,0
447,This charger is very conveniently located just outside the entrance of Cabarrus Street. The deck is free all weekend and free! I have a full charge on my Volt. Love it!,0,0,0,1,0,1,0,1
448,Great place to get a fast charge.,1,0,0,0,0,1,0,0
449,"For instant access, either use your SemaCharge smart card (or choose < OR > www.semacharge.com on your smartphone at any time) and ask for a smart card for easier access in the future if you don't have one.",1,0,0,0,1,0,0,0
450,"When I returned to my vehicle, no charge was made, although it was charged when I left the vehicle. Safety when restarting the station??? Looks safe. IF YOU DO NOT WANT TO USE IT, PRESENTATION!!!",1,0,0,0,0,1,0,0
451,,0,0,0,0,0,0,0,1
452,Tesla 10 chargers now. I used the newer? pull ~ in forward type. 262 mi / h. All good,1,0,1,0,0,0,1,1
453,Chademo,1,0,0,0,0,0,0,0
454,"I say, if someone has an ev left, just park it here and leave it there for a few days! Even if the power is off, just park a nice Chevy Volt there. It won't be towed away because the place doesn't belong to anyone or is marked like that. It will cause the person who uses this charger to be so reckless towards other ev drivers, especially as this doctor has never parked there.",0,0,1,0,1,1,0,1
455,DC fast charging works great from 22kWh,1,0,0,0,0,0,1,0
456,Blink Network. Easy to find on Harvey rd page of bldg.,1,0,0,0,0,1,0,0
457,Probably the best hotel in the area for motorhome riders. Facilities are much appreciated!,0,0,0,0,0,1,0,0
458,"They have 2 Level 2 chargers, which are open 24 hours a day.",1,0,0,0,0,1,0,0
459,"Charging is free, but you do NOT need a Chargepoint card or mobile app to unlock the Station. You can also unlock it by calling its toll-free number.",1,0,0,1,1,0,0,0
460,"I'm not sure what happened to the charging speed at this point. Last time I stopped, it was over 110 miles per hour. Now, only topping with 60. Tesla will soon have to get an SC, by the way Atlanta and Charlotte.",0,1,0,0,0,0,1,1
461,I had to reset the whole system twice to get level 3 up and running. Good thing I got it up and running. I still have 180 miles to go before I can sleep.,0,0,0,0,0,0,1,0
462,"Unlike at the weekend, no electric car was charged at 3pm.",0,0,1,0,0,0,0,0
463,ERROR with port,1,0,0,0,0,0,0,0
464,A very welcome place to recharge. Right on Main Street in downtown. Close to shops and restaurants.,0,0,0,0,0,1,0,0
465,Great station with very clear ev-only signage. NRG staff were quick and friendly and sent me off without having received my RFID yet.,0,0,0,0,0,1,0,0
466,"Port 1 for charging, port 2 says that no low mains voltage is available...",1,0,0,0,0,0,0,0
467,"Make sure your car is actively charged when you leave. Otherwise, extend your 4-hour limit and take time away from others who are waiting.",0,0,1,0,1,0,0,0
468,"Both say ""charge,"" but my Leaf only beeps because of the bad connection. Doesn't work.",1,0,0,0,0,0,0,0
469,,1,0,0,0,0,0,0,0
470,"can charge 80% if promenade service center hours. just outside service place on the left. Need a key to use, which u can get into service place.",1,0,0,0,0,1,0,0
471,I tried to find this charger about two months ago and it was nowhere to be found in the car park of Ripley House.,0,0,0,0,0,1,0,0
472,"I have received an e-mail from the city of Goleta informing me that this charger is now working, can someone check it on site?",1,0,0,0,1,0,0,0
473,I called Chargepoint they said they had to send someone.,1,0,0,0,0,0,0,0
474,L3 CHAdeMO works perfectly,1,0,0,0,0,0,0,0
475,Fantastic.... I look forward to using my updated Chademo for Rav 4 EV this summer,1,0,0,0,0,0,0,0
476,,0,0,0,0,1,0,0,0
477,Finally they repaired the second charger!,1,0,0,0,0,0,0,0
478,Still doesn't work...,1,0,0,0,0,0,0,0
479,"Arbys car park, very fast!",0,0,0,0,0,0,1,0
480,"If you receive an error message, please call the number on the AeroVironment charger and report it so that they can fix it as quickly as possible.",0,0,0,0,1,0,0,0
481,Requires a free app,0,0,0,1,0,0,0,0
482,free juice as part of my service. thanks newton nissan!,0,0,0,1,0,0,0,1
483,Spot for charging ICEd by dealer car,0,0,1,0,0,0,0,0
484,It works again.,1,0,0,0,0,0,0,0
485,"The second time I blew the circuit breaker after trying to charge up to 40 Amps. I checked it before I went to bed and turned off the hotel sign in the fuse box so that we could have enough charge to leave in the morning. I was able to charge the circuit breaker twice, the first time when I got 30 Amps for an overnight charge, and the second time when I blew the circuit breaker after trying to charge up to 40 Amps.",1,0,0,0,0,1,1,0
486,Station 2A,0,0,0,0,0,0,1,0
487,Does not work with my LEAF. The handle looks like it needs to be replaced.,1,0,0,0,0,0,0,1
488,"3 were used, one is broken.",1,0,1,0,0,0,0,0
489,"I couldn't find anything on the pillars at the edge of the building, but I found a few outlets at the ends of the parking rows (internal pillars for a structural engineer like me). I stayed by car to avoid paying for parking (it's parking permit, and you can buy a paper day permit to put your dashboard on - the driveway is not locked).",0,0,0,0,0,1,0,0
490,2 Volt & 1 Spark Charging Now.,0,0,1,0,0,0,0,0
491,JdeMO for the RAV4 EV works great for charging!!!,1,0,0,0,0,0,0,0
492,Stuck in the cafe for an hour during lunch.,0,0,0,1,0,1,0,0
493,The fast charger here is fantastic! I can hop on the Fred Meyer and have lunch and fully charge my car by the time I finish. This makes an electric car more practical as I had to commute from Everett to Redmond on an already low charge.,1,1,0,1,0,1,0,0
494,"After there was finally an opening, the charging station no longer worked.",1,0,1,0,0,0,0,0
495,"This woman was parked at a charging station, not in an electric car, she should have gotten a ticket, she couldn't walk 50 extra feet to the Nordstrom luggage rack.",0,0,1,0,0,0,0,0
496,ICEd with Jeep and Prius.: - (,0,0,1,0,0,0,0,1
497,"The screens of both chargers were damaged; we could not see the instructions, we did not even know if they accepted our flashing card.",1,0,0,0,0,0,0,0
498,Quick charge no longer available for Teslas (new configuration not compatible with adapter) used trickle charger with 9 miles / h very nice staff,1,0,0,0,0,0,0,1
499,The BMW i3 is fully charged but locked.,1,0,0,0,0,0,0,1
500,"On my way back from Ludlow VT to LI recharged. * * ATTENTION * * Rt 91 SB exit 20 was closed and had to go to exit 18. This station might still be worth the extra ride. I was able to reach the Executive Nissan (N. Haven, CT) station with 94% charge in my LEAF. However, this was the closest station I have ever come to not making a stop (~ 5% charge).",0,1,0,0,0,1,0,1
501,The quick charging works great...,1,0,0,0,0,0,0,0
502,Unity is offline,1,0,0,0,0,0,0,0
503,Directly behind the Creative Hair Salon. _ x1f463 _ _ x1f44d _ _ x1f50c _ _ x1f61c _ _ x1f609 _ _ x1f60e _,0,0,0,0,0,1,0,0
504,the first time here. very nice facility,0,0,0,0,0,1,0,0
505,"TESLA OWNERS - MODEL S UPGRADE - You have a brand new cable, Model S adapter and Tesla-approved outlet to connect to. I charged my P85D at 40 amps at 25 miles per hour. I arrived at 1: 30 a.m. after 16 hours of driving (and charging). Dario, the senior night owl, was so gracious, he took out the brand new Tesla cable and adapter and then brought it into the lock with his cell phone light and connected the car. Full charge this morning! Plus charger is located on the back of one of the two handicapped parking spaces right next to the front door. You have to be a guest, but there really is no other way to take the long drive up the hill. GREAT destination connection, although as a dinner guest at Equus you often stay up to 4 hours, so that's 100 extra miles if you need it (or just get one on top).",1,1,0,0,1,1,1,0
506,"Great location, works perfectly, but because the location is so good and free, it is very busy. Check availability in advance.",1,0,1,1,1,1,0,0
507,"Saturday afternoon in the bustle of the Outlet Mall. Has a booth, but divided at 60 kW or about 180 miles per hour.",0,0,0,0,0,0,1,0
508,The fast loading process is still ongoing.,1,0,0,0,0,0,0,0
509,Just made it here from State College. Charge for free. So far it has worked great.,1,1,0,1,0,0,0,0
510,The left charger is now simply HAPPENED.: - /,1,0,0,0,0,0,0,0
511,"This listing is a duplicate of a fraction of a mile west. Neither has the location exactly right; Recargo has it right. This location has finally proven to be EV-unfriendly, so it's best to look elsewhere until you realize the business opportunities they're wasting.",0,0,0,0,1,1,0,0
512,"Other charging station that has faults, not called",1,0,0,0,1,0,0,0
513,Could not remove plug,1,0,0,0,0,0,0,0
514,One that is still available,0,0,1,0,0,0,0,0
515,2.50 per hour makes it more expensive than gasoline in my Chevy Volt. Glad I have the option.,0,0,0,1,0,0,0,1
516,"All four places are currently occupied, the start is at 12: 15.",0,0,1,0,1,0,0,0
517,Beautiful shady place,0,0,0,0,0,1,0,0
518,Could not start the combo and therefore switched to independent Chademo - no problem.,1,0,0,0,0,0,0,0
519,one unit down.. other unit ICED.,1,0,1,0,0,0,0,0
520,"Tried three stations today. It looks like it will be recharged and stops two minutes later. No signs to explain anything. It worked on Saturday. Maybe it does not work if the parking is free. Today, two Passats park at the ev-spots, yesterday a Macerati. No tickets.",1,0,1,0,0,0,0,0
521,its $2.35 an hour... There is only 4.8kw / h,0,0,0,1,0,0,1,0
522,"The fast charging station had a window asking if an update should be made. In the left panel (the master port - the right panel is the secondary one that is turned on when the first one is busy and then exits if I understand it correctly) there was an ""out of service"" message. I tried to switch to the L2 station but it had a ""self test failed"" message and the reset button was unresponsive.",1,0,0,0,0,1,0,0
523,I am very excited to find these chargers. I have never seen the automatic extension and rewind cables attached to the ceiling before!,0,0,0,0,0,1,0,0
524,128 miles per hour @ 41kW,0,0,0,0,0,0,1,0
525,Blue Leaf - Please turn on your car charger when charging on public chargers and leaving your car connected.,0,0,0,0,1,0,0,1
526,"Marc, thank you very much for the information. Soon I will take up a contract job in this area. Fortunately, I have seen some EVSE units at work in the cordoned off car park, so hopefully I can use them rather than the public infrastructure.",0,0,0,0,0,1,0,0
527,"He charges my Fiat 500e, but first drains a few volts before he starts charging.",0,0,0,0,0,0,1,1
528,"Says straight away that they have problems that need to be fixed, but it still works. It's just gone up from 40% to 70% in about ten minutes, so it's not bad.",1,0,0,0,0,0,1,0
529,Done at 11: 30 a.m.,0,0,0,0,1,0,0,0
530,Several restaurants within the market building.,0,0,0,0,0,1,0,0
531,"The DCFC did not charge at first, called, rebooted and now reloaded.",1,0,0,0,0,0,0,0
532,Could not read my EZCharge card. Try both chargers.,1,0,0,0,0,0,0,0
533,Great place to recharge during blood donation!,0,0,0,0,0,1,0,0
534,"The train station is located on the right side of the building, facing the building. Great location. Quiet and shady under the trees.",0,0,0,0,0,1,0,0
535,"Remember to park here, but at $2.40 an hour the compressor is hit on the way home. Units seemed to be working. Lot is $7 / night or hourly fees.",1,0,0,1,0,0,0,0
536,"The Chademo charger was not ready to use - it looks like the screen has frozen, and the two L2 chargers looked like they were ready to charge. They have 70A and also had a NEMA 14-50 (240V) plug and a 120V socket.",1,0,0,0,0,0,0,0
537,"I have just finished loading the car and drive off. However, there is another charging car next to me.",1,0,0,0,0,0,0,0
538,Blink now 1: 14: 59 / $1.,1,0,0,1,0,0,0,0
539,QC showed error codes or complained of a poor connection for me and the building staff were notified.,1,0,0,0,0,0,0,0
540,The unit seems to be working.,1,0,0,0,0,0,0,0
541,I tried the right side and it worked well. It has the new grips that are simple and fast.,1,0,0,0,0,0,0,1
542,I will be ready at 10: 30pm.805 428 6489,0,0,0,0,1,0,0,0
543,Level 2 does not work due to low mains voltage.,1,0,0,0,0,0,0,0
544,"Charger No. 2 worked great, charger No. 1 still failed.",1,0,0,0,0,0,0,0
545,Very friendly staff. Shopping center is 0.5 miles away.,0,0,0,1,0,0,0,0
546,Visiting without my car. 2 fast DC chargers & a J-1772.,1,0,1,0,0,0,0,0
547,"Middle charger self-test error, ice in 2 other places reach other chargers without problems.",1,0,0,0,0,0,0,0
548,"Peak charging power: 30 Ampere, 240 Volt",1,0,0,0,0,0,0,0
549,Nice rest area on the 101 northbound.. Usually not very busy.,0,0,1,0,0,1,0,0
550,"The aim is to arrive outside shop opening hours, otherwise there is a high probability that employees will charge their personal i3.",0,0,1,0,0,1,0,0
551,I used to be here at school. The attendant is a jerk. The two sections are really one for employees and another for students and only older students. So I doubt that he will let anyone in and use the chargers.,0,0,0,0,0,1,0,0
552,"Appeared at the store today, and of course her station is not directly connected to PlugShare and / or a network, so you have no idea if it is in use before arrival or not. Well, when we showed up, it was offline. Not functional at all. I would be willing to pay for the charge, but even the girls inside who were busy just shrugged their shoulders, as if to say, ""Sorry, what can we do?"" Well, you could have a charging station that shows the online status of availability and reliability before arrival.",1,0,0,0,0,0,0,0
553,"Only 2 booths occupied. Both left. Used 2A. Started slowly, but eventually rose to 233A.",0,0,1,0,1,0,1,0
554,The charging speed is 21 km / h. Nice location. Nice charger for level 2.,1,0,0,0,0,0,1,0
555,Handle does not release. Call customer service and they created a trouble ticket,1,0,0,0,1,0,0,0
556,"With L2 charger, will be here for about 3-4 hours. Both DC are opened from this moment!",0,0,1,0,1,0,0,0
557,Departure at 3am with the motor pool,0,0,0,0,1,0,0,0
558,"Ignorant is when someone tries to use the race card... Overcome it, if you are a professional, then be professional, not only when it suits you. You want to be treated equally, then act accordingly.",0,0,0,0,0,0,0,0
559,"Used the QC successfully to 91%, although I had asked for 100% when I went to Port Hueneme. Made it with about 18% charge.",1,1,0,0,0,0,0,0
560,Mistake. Needs maintenance.,1,0,0,0,0,0,0,0
561,Where are these EV chargers located? In the parking lot in the Copley Center garage below the Copley shopping center? Is the CHAdeMO-based DC charger in operation? It is known that all TESLAs require a CHAdeMO adapter.,1,0,0,0,0,1,0,1
562,Everything available today.,0,0,1,0,0,0,0,0
563,"... after calling earlier to see if I could charge. I finally charged the normal charger for 2 hours, in the cold after hours. I offered to buy one of their ""green cards,"" but they refused, and in fact the staff was rude. My dealer (Ken Garff) charged for everyone, free of charge! I just wanted to top it up out there. I live in Morgan and had to charge to make the trip to the SLC. If you want to take your leaf with you for a ride to the mountains, don't hesitate to stop and top it up with me!",0,0,0,0,1,0,0,1
564,Charger works well eating in the outback.,1,0,0,0,0,1,0,0
565,Charging at 30A or 19mph on a Tesla Model S Performance with double charging capacity.,1,0,0,0,0,0,1,1
566,The charging station opposite me is fully charged when I sit there...,0,0,1,0,0,0,0,0
567,"2 charging stations on the 2nd floor of the parking garage. Charge $1 / hour for the first 5 hours, then $5 / hour. No parking fees. Garage does not close as far as I can tell.",0,0,1,1,0,1,0,0
568,Fast charger still works.,1,0,0,0,0,0,0,0
569,The staff of the Holiday Inn Express was very friendly.,0,0,0,0,0,1,0,0
570,"just returned from Huntington Beach, had 11 miles left. after this need to make it home to victorville. excellent location, wish they had another qc here though",1,1,0,0,0,1,0,0
571,"3 out of 4 used places, the open space, third from the left, was open, but the 50 amp service did not work at all.",1,0,1,0,0,1,1,0
572,Space 5040 works,1,0,0,0,0,1,0,0
573,"Charged at 200 volts 30 amperes. If you stay at the hotel, just tell the valet service you need to charge that you can park there yourself. Very easy and a great location!",1,0,0,0,0,1,1,0
574,"My No Charge To Charge card worked without calling NRG. The standalone Level 2 charging station also appears to be activated by a solid green LED light that reads ""READY."" The CHAdeMO Nissan unit looks like it is not activated.",1,0,0,0,0,0,0,1
575,Welcome to owning a Volt bcasey. Visit the gm-volt.com user forum as it is a great resource for owners.,0,0,0,0,1,0,0,0
576,Worked well.,1,0,0,0,0,0,0,0
577,The only public charger in BCS is open 24 hours a day - for free!,0,0,0,1,0,1,0,0
578,I tried the right Tesla charger and it worked fine at 80 amps.,1,0,0,0,0,0,1,1
579,"Both L2 parking spaces were blocked by dealer vehicles, the 500 V emergency access was also blocked, the dealer apologised and expressed sympathy for future drivers of electric vehicles.",1,0,1,0,0,0,0,0
580,mgr friendly enough to let me charge indoors. 22 mph,1,0,0,0,0,1,0,0
581,Works great. Free charging with charging card. One place was iced,1,0,1,1,0,0,0,0
582,This is Sellersville PA,0,0,0,0,1,1,0,0
583,"Thank you, Mac.",0,0,0,0,0,0,0,0
584,Parking here for my business trip. Several 120 outlets. Need to park on full service valet side. Friendly staff.,0,0,1,0,0,1,1,0
585,,0,0,1,0,1,0,0,0
586,Both places were not electrically occupied on a Saturday. Charger number one was not operational. It could be possible to charge behind the device in the next parking lot.,1,0,1,0,0,1,0,0
587,,0,0,1,0,0,0,0,0
588,Out of service until 1 June 2015 due to construction works.,1,0,0,0,0,0,0,0
589,Full house. All three are running. Level 1 available.,0,0,1,0,0,0,0,0
590,Drive into Prudential to the end (west) behind the main building. Recharged 8 KW,1,0,0,0,0,1,1,0
591,$5 Parking via ATM (cash / credit). 2 Clipper Creek Chargers 235v @ 30A,1,0,1,1,0,1,1,0
592,2a not working 1b charging at 314 miles per hour,1,0,0,0,0,0,0,0
593,This place would not accept nctc. And I filled a problem ticket with blink,1,0,0,0,0,0,0,0
594,"I tried to activate the app and got a log error. When I called the number, they got the same error. I'm not sure if it's a network problem or if the device itself isn't working. I've ordered an rfid card, so I'll try it when I get it.",1,0,0,0,0,0,0,0
595,"Can you take photos of the station? Does it list any company names, websites or phone numbers to indicate who is responsible? I thought it might be one of the ones installed by U-GO stations, but if so, they haven't listed it in the GreenLots app yet.",0,0,0,0,1,0,0,0
596,Great place to shop. Easy to find. And across the street at Jennicakes there are great cinnamon rolls and coffee.,0,0,0,0,0,1,0,0
597,"Looks as if the stations are in operation. Checks out, but did not need any charge, so can not confirm 100%.",1,0,0,0,0,0,0,0
598,,1,0,0,0,0,0,0,0
599,nice Nissan people let me charge my Tesla with 125 km / h. Good thing that there is a villain in our family too,0,0,0,0,0,0,1,1
600,Fast charging,1,0,0,0,0,0,0,0
601,The location is a little off. It is located to the left of the restaurant. Under the solar panels. Free use of the charging point.,1,0,0,1,1,1,0,0
602,thx galleria. Watched a movie and bought while topping out took place. Nice place.,1,0,0,0,0,1,0,0
603,"Ok, switch off at 9: 00 a.m.",0,0,0,0,1,0,0,0
604,Right behind the hotel. Great lobby and healthy snacks. That was my first public charge! Success!,0,0,0,0,0,1,0,0
605,Waiting for cost.Sheet almost ready,0,0,0,0,1,0,0,0
606,Works fine. No RFID car needed. Open 24 hours a day. Occasionally ICEd by a visitor.,1,0,1,0,0,1,0,1
607,1 / 1 / 14 EVSE was available in the evening. Charge needed to get home to the SF Peninsula. Charged for two hours and leave contact details in the windshield. Good dinner across the street.,1,1,1,0,1,1,0,0
608,It worked great! They even cleared an ICE out of my way... and I was allowed to drool over a GT-R while I waited:),1,0,1,0,0,0,0,0
609,"The chargers were in a paid parking lot. I wasn't sure where they were when I arrived, so I asked the lady and the gentleman at the toll booth. They explained that I had to pay for parking, but when I mentioned the Internet, which showed no cost, she explained that the management had not yet decided whether or not to charge, as they were losing revenue in the parking lot. They were both very nice and allowed me to pay at no cost. In the end, I charged my Ocean Blue Leaf for 30 minutes, just to make sure I returned to Lorain with my family after shopping at Park To Shop. The chargers are about 50 feet to the left of Improv. I will try to add a few pictures if I can figure out how.",0,1,0,1,0,1,0,1
610,"Prius plugin, and leaf on other one.",0,0,1,0,0,0,0,0
611,Local punks destroyed Level 2 and DCFC again. All units out of service. No forecast on repair date.,1,0,0,0,0,0,0,0
612,"Checked on the plan Brian mentioned, according to EvGo it is no longer offered",0,0,0,0,1,0,0,0
613,All good at 3am!: -),1,0,0,0,0,0,0,0
614,Onlookers observe chargers blocked by parked ICE cars,0,0,1,0,0,0,0,0
615,"Just drive into the parking lot and look for an outlet along the wall on the right. I told the attendant directing the pack that I needed an outlet, but I didn't ask. Rickle charged while I was in the park, and had enough juice to take me home.",1,1,0,0,0,1,0,0
616,Non-electric vehicles occupy both places.,0,0,1,0,0,0,0,0
617,I could not find distinct low-emission car parks or available outlets.,0,0,1,0,0,1,0,0
618,Thank you!,0,0,0,0,0,0,0,0
619,"As already reported, the left unit will not read the flashing card, the other one only after several attempts to wipe my card.",1,0,0,0,0,1,0,0
620,"That was super fast! My first supercharging experience. I had 36 miles in my car when I arrived. Eighty minutes later, I was at 269 miles, which is great. Also, a woman who works for the Department of Transportation spoke; she said her job was to help create plug-in infrastructure across the East Coast. Let's hope this happens sooner rather than later.",1,1,0,0,0,1,1,0
621,Recharge the black sheet.,1,0,0,0,0,0,0,1
622,"The left or north end of the CHAdeMO connector unit has up to 80% charge, the right side only charges 10% and then switches off about 60% even at sunset *.",1,0,0,0,0,1,0,0
623,,1,0,0,0,0,0,0,0
624,,1,0,0,0,0,0,0,0
625,Quick charger worked fine.. 60% to 80% in 10 minutes.,1,0,0,0,0,0,1,0
626,Can you share when you're done? Tx,0,0,1,0,0,0,0,0
627,2 still seems to work and series 211431 still looks numb. I will report it again. I know that you Fiskar use one of these cards every working day.,1,0,0,0,0,0,0,0
628,We have a technician who returns to the site as there appears to be a secondary problem with the card reader. We apologize for the continued failure and are working diligently to resolve this issue. Thank you for your patience.,1,0,0,0,0,0,0,0
629,"I found the L3 EVSE on the opposite side of the Level 1 car park (near the bypass), so not next to or near Level 2 J1772 EVSE near the center's stores. Also, an e-mail from Will Beckett confirms what I have seen, the L3 EVSE has a physical problem: the strain relief of the L3 coupling cable has been lost (or never properly installed), so the cable may hang on its wires. If you are using the L3 EVSE, be careful with this cable. Drivers should send an e-mail to the center indicating the cable's attachment, and there must be an EV-only sign at 5 feet to keep ice outside. Use http: / / www.simon.com / mall / guestservices.aspx? id = 841 to submit a maintenance order.",1,0,1,0,1,1,0,0
630,"Make sure you are on hand quickly when prompted to do so, otherwise a timeout error may occur.",1,0,0,0,0,0,0,0
